case_name,model_type,delta_mm,t_day,z_m,Tin_exp_C,Tmid_exp_C,Tmid_sim_C,Tmid_error_C,Tout_exp_C,Tout_sim_C,Tout_error_C
Sharan_May_cooling_kepsilon,resistance_gap,0,0,25,31.3,29.1,26.6117158151324,-2.48828418486758,26.8,26.6111411164984,-0.188858883501581
Sharan_May_cooling_kepsilon,resistance_gap,0,0.0416666666666667,25,33.7,29.2,28.1621364292108,-1.03786357078923,26.8,26.9558488310687,0.155848831068699
Sharan_May_cooling_kepsilon,resistance_gap,0,0.0833333333333333,25,36.4,29.5,29.0353286902777,-0.464671309722284,27.2,27.2258241959359,0.0258241959358898
Sharan_May_cooling_kepsilon,resistance_gap,0,0.125,25,37.8,29.5,29.7656268170178,0.265626817017782,27.2,27.4811403903726,0.281140390372627
Sharan_May_cooling_kepsilon,resistance_gap,0,0.166666666666667,25,40.8,29.7,30.5938239389811,0.893823938981104,27.2,27.7605760311042,0.560576031104244
Sharan_May_cooling_kepsilon,resistance_gap,0,0.208333333333333,25,40.4,29.7,31.0146316906428,1.31463169064276,27.2,27.9710652493106,0.771065249310613
Sharan_May_cooling_kepsilon,resistance_gap,0,0.25,25,39.8,29.8,31.1694892104505,1.36948921045047,27.2,28.1113306791359,0.911330679135933
Sharan_May_cooling_kepsilon,resistance_gap,0,0.291666666666667,25,39.6,30,31.2916862273199,1.29168622731987,27.2,28.2219147113156,1.02191471131555
Sharan_January_heating_kepsilon,resistance_gap,0,0,25,19.8,22.3,24.2025902212583,1.90259022125831,23.4,24.2154346486497,0.815434648649696
Sharan_January_heating_kepsilon,resistance_gap,0,0.0416666666666667,25,17.6,22.2,22.8025752908665,0.602575290866547,23.4,23.9600413752728,0.560041375272789
Sharan_January_heating_kepsilon,resistance_gap,0,0.0833333333333333,25,13.3,22.1,21.6760363396,-0.423963660399952,23.3,23.6604624474204,0.360462447420378
Sharan_January_heating_kepsilon,resistance_gap,0,0.125,25,11.9,21.9,20.8886234164695,-1.01137658353051,23.3,23.3850669053069,0.0850669053069453
Sharan_January_heating_kepsilon,resistance_gap,0,0.166666666666667,25,10.4,21.8,20.2454939105755,-1.55450608942451,23.3,23.137231226849,-0.16276877315099
Sharan_January_heating_kepsilon,resistance_gap,0,0.208333333333333,25,9.6,21.7,19.7159151451661,-1.98408485483386,23.3,22.9144818000813,-0.385518199918717
Sharan_January_heating_kepsilon,resistance_gap,0,0.25,25,9.1,21.6,19.302307337111,-2.29769266288899,23.2,22.7198908213498,-0.480109178650221
Sharan_January_heating_kepsilon,resistance_gap,0,0.291666666666667,25,8.7,21.5,18.9537689651427,-2.54623103485725,23.2,22.5456901807081,-0.654309819291939
Sharan_January_heating_kepsilon,resistance_gap,0,0.333333333333333,25,8.3,21.5,18.7000009601296,-2.79999903987036,23,22.4005673806912,-0.599432619308832
Sharan_January_heating_kepsilon,resistance_gap,0,0.375,25,8.7,21.4,18.5647974198609,-2.83520258013913,23,22.2888492225613,-0.711150777438686
Sharan_January_heating_kepsilon,resistance_gap,0,0.416666666666667,25,9.1,21.3,18.5082072621528,-2.7917927378472,22.9,22.2027986521287,-0.69720134787125
Sharan_January_heating_kepsilon,resistance_gap,0,0.458333333333333,25,9.6,21.2,18.486171299068,-2.71382870093198,22.9,22.1345764678513,-0.765423532148652
Sharan_January_heating_kepsilon,resistance_gap,0,0.5,25,9.8,21.2,18.4725485760938,-2.7274514239062,22.8,22.0799654124028,-0.720034587597162
