"day","delta_mm","Tin_C","CFD_Tout_C","MATLAB_raw_Tout_C","Error_MATLAB_minus_CFD_C"
"0","0","25.0051649825302","23.248468186727","19.1256025811137","-4.1228656056133"
"0","1","25.0051649825302","23.3037078679436","19.8217883216356","-3.481919546308"
"0","5","25.0051649825302","23.3757914069505","21.540541321263","-1.8352500856875"
"35","0","26","23.941144143419","20.1494406881697","-3.7917034552493"
"35","1","26","24.0027762419263","20.7463370927717","-3.2564391491546"
"35","5","26","24.2803889196535","22.2538002244484","-2.0265886952051"
"125","0","20.4715659505147","19.5919355682813","18.8310493425897","-0.7608862256916"
"125","1","20.4715659505147","19.6557440016084","18.954378198055","-0.701365803553401"
"125","5","20.4715659505147","19.7763694162952","19.2972169625269","-0.4791524537683"
"200","0","14.9544378350678","16.2402103317332","19.0689451153214","2.8287347835882"
"200","1","14.9544378350678","16.199229502959","18.6277714992387","2.4285419962797"
"200","5","14.9544378350678","16.0176784795643","17.5289509287155","1.5112724491512"
"260","0","16.1458127397268","17.6064401478615","20.0641910182229","2.4577508703614"
"260","1","16.1458127397268","17.5349980830009","19.6798067710574","2.1448086880565"
"260","5","16.1458127397268","17.3585273707846","18.6984098865245","1.3398825157399"
"310","0","20.4715659505147","20.788096004685","20.7070208116514","-0.0810751930335982"
"310","1","20.4715659505147","20.7351483601396","20.7134645914088","-0.0216837687307994"
"310","5","20.4715659505147","20.6834474399792","20.708445842495","0.0249984025157985"
"365","0","25.0051649825302","23.6158611553096","20.6502789039243","-2.9655822513853"
"365","1","25.0051649825302","23.6638576833116","21.1116467166301","-2.5522109666815"
"365","5","25.0051649825302","23.8442453811758","22.2650212039216","-1.5792241772542"
